text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307,LLMAnnot1,LLMAnnot2,LLMAnnot3,LLMAnnot4,LLMAnnot5
Όποιος δεν τον ξέρ΄ ακριβά τον αγοράζει,1,1,2,2,6,1,6,1,1,1,0,1,1,1,1
Τα 'θελες και τα 'παθες,1,5,17,9,5,2,5,3,1,2,1,1,1,2,3
"Αδειανός μασκαράς, παραχέρ 'τ' χουριού",3,1,16,1,6,3,10,3,1,3,0,2,3,3,4
"Ξεπεσομένος άρχοντας, ζωντανοκολασμένος, λιοντάρι ψόφιο, χαρτί μουρδουλωμένο",3,1,1,1,6,3,2,4,4,4,0,5,1,1,2
"Κάλλιο γαιδουρόδερνε, παρά γαιδουρογύρευε",2,2,1,3,6,2,8,1,2,5,2,1,3,1,1
Εφτό σύρνεται,1,1,9,50,6,3,7,3,6,6,0,1,1,1,1
"Φύϊτι να μη σας κοιτιλήση του βώδι – Αμ' που 'νιν, πρέ του βώδιν; - Ε θουράτι του σκοινίν του πάου να του φέρου;",1,2,1,11,6,4,10,5,2,6,1,3,2,3,5
Άφσ' τσου πλούσους να σωδιάζουν για τη φτώχεια απανωτιάζουν,2,2,2,5,1,9,6,1,4,7,2,2,3,4,4
Η παλαβάδα 'νι 'κατό λουγιώ στού κόσμου,1,1,13,9,6,4,10,3,3,8,2,1,3,3,5
Στού Μπαλίκ Παζάρ ένας παπάς κρέμιτι,4,4,5,6,6,4,10,6,7,9,0,3,4,2,2
"Τρεις στα Γέννα, τρεις τα Φώτα τσ' έξη στην Ανάστασι",4,4,3,6,6,4,5,7,7,50,0,1,3,1,1
Σαν κρυφτόξυλο δαγκάνει,5,5,17,17,6,8,10,3,1,6,2,1,4,4,5
"Σ' ούλα τα καλά, ο Θεός είναι μέσα",4,4,3,6,4,6,5,6,4,10,1,1,1,4,5
"Ηβάρεσιν, η μοίρα του",6,5,11,7,6,3,2,8,5,11,2,3,-1,1,4
Τρέχ' η μύτ' σ' γαμβρε! Τρέχ' απού του χ'μώνα. Σι ξέρου κι απου του καλουκαίρ',1,5,4,10,6,4,4,7,5,12,2,3,2,4,5
"Οποίος προσκυνάει και κλάνει, κ' η πορδαίς του φύγανε, και τση μετάνοιαις του έχασε",1,1,3,6,6,6,10,6,4,13,3,2,1,1,5
Το μήλο θα πέση κάτ' α' τη μηλιά,6,1,4,13,"2, 3 ",2,2,7,1,14,0,1,1,1,5
Εκαμένμ μ' ασσίμ μουδούριν,1,1,8,50,6,4,1,1,1,50,2,3,3,4,2
Καλού καιρού ξύλο,1,1,4,50,6,3,1,1,1,15,1,5,4,1,5
Νάχα πουτάνας ριζικό και ά καμάτρας μοίρα,3,3,11,7,6,3,3,8,2,11,1,1,1,2,1
Άλλος κούκος λαλεί,1,5,1,11,6,4,7,1,1,16,2,4,3,3,3
Έργατα και δουλείας,1,1,5,8,6,3,8,2,6,17,0,1,4,1,5
Η δουλειά δέ χρίζει μούτρα,2,1,5,8,3,2,8,2,2,17,1,1,2,2,5
"Τσ' η πούλλα τσα πίνει νερό, τοθ Θεό ξαννοίει",4,4,3,6,6,6,7,6,7,10,1,1,1,4,2
"Αλλοίς τον οπού καρτερά στα ξένα να δειπνήση και δε(ν) στένει την τσούκαν του, να φάη και να χαρίση",1,2,17,9,6,9,7,5,2,18,2,4,3,2,6
