"text	",language,Random no. split
Los parques nacionales en España son espectaculares.,Other,0.338739512
La música es una fuente de alegría.,Other,0.282462703
Grass is green in color.,English,0.841021429
Τα ζώα φέρνουν χαρά στις ζωές μας.,Greek,0.978832093
Poso xrono pernas sto spiti sou?,Greeklish,0.36432913
Ti thes na kanoume avrio?,Greeklish,0.340432529
"אני לא מדבר באופן רציף בשפה הזו, אבל אני מנסה ללמוד.",Other,0.024674631
Dreams can inspire us.,English,0.295987327
Η απλότητα φέρνει σαφήνεια στη ζωή.,Greek,0.593957866
Tha pame gia geitonia stin periochi.,Greeklish,0.265433651
Thelo na matho na zw sto xwro.,Greeklish,0.477839064
Pame gia vradini prooptiki?,Greeklish,0.173135052
Ksero na milao gallika kai italika.,Greeklish,0.302033323
Eimai poli efxaristimenos gia tin voitheia sou.,Greeklish,0.479137073
Clean water is essential for life.,English,0.92638197
Το βιβλίο ήταν γεμάτο αγωνία.,Greek,0.100798696
Το καθαρό νερό είναι ουσιώδες για τη ζωή.,Greek,0.303515442
Las ferias y mercados españoles son vibrantes.,Other,0.665011835
Den ksero ti na valo gia na fago.,Greeklish,0.357621496
Friendship is precious.,English,0.719155004
Success requires hard work.,English,0.154981203
Tha pame gia geitonia sto kentro.,Greeklish,0.819189257
"Εγω παντως ρε φιλε, μονο ενα Priest πετυχα απο το guild σας, του μιλησα και εκανε τον κινεζο. Και ειμασταν και σε rdf παρεα.",Greeklish,0.446714048
Paei na treksei kathe mera gia ipodromies.,Greeklish,0.798539437
El Museo del Prado es una joya cultural.,Other,0.06342132
Τα σκυλιά είναι πιστά ζώα.,Greek,0.313151594
La cocina catalana es innovadora y deliciosa.,Other,0.787728653
Los museos de arte contemporáneo en España son notables.,Other,0.715437639
Οι ονειρώξεις μπορούν να μας εμπνεύσουν.,Greek,0.617964121
Οι προκλήσεις μας κάνουν πιο δυνατούς.,Greek,0.084722524
Ο σύμπαν είναι τεράστιος και μυστηριώδης.,Greek,0.034558788
Family provides support and love.,English,0.166603767
Ο σεβασμός είναι σημαντικός σε όλες τις επαφές.,Greek,0.833632326
La artesanía española es variada y colorida.,Other,0.41207926
Tha pao sto parti apopse bradu.,Greeklish,0.597164807
Pos na pao sto stathmo tou metro?,Greeklish,0.972314263
Appreciation enhances relationships.,English,0.623254296
Den mporo na pao sto parti avrio.,Greeklish,0.602163566
El sol brilla en el cielo despejado.,Other,0.355317171
Οι ηλιοβασίλεματα χρωματίζουν τον ουρανό με ζωηρά χρώματα.,Greek,0.651554508
Tha pame gia kafe apopse bradu.,Greeklish,0.493881454
Η περιέργεια θέτει σε λειτουργία την εξερεύνηση.,Greek,0.023564226
Poso kostizei ena bileto gia to theatro?,Greeklish,0.8304162
"No entiendo mucho de este idioma, pero me encanta escucharlo.",Other,0.50561804
Recycling helps protect the environment.,English,0.073817836
Η επιμονή και η προσήλωση φέρνουν αποτελέσματα.,Greek,0.201607635
Kindness goes a long way.,English,0.324127741
Respect is important in all interactions.,English,0.270694552
Las celebraciones de Nochevieja son festivas.,Other,0.214097132
El jamón ibérico es famoso en todo el mundo.,Other,0.718826306
Ο κόσμος είναι γεμάτος διαφορετικότητα.,Greek,0.561107653
Οι ονειρικές μας δυνατότητες μπορούν να είναι πηγή έμπνευσης.,Greek,0.944122212
Den thelo na perimeno allo.,Greeklish,0.756654733
Η υγεία είναι πλούτος.,Greek,0.849581296
Happiness comes from within.,English,0.645244855
Kindness can change someone's day.,English,0.901855896
Den thelo na perimeno allo.,Greeklish,0.200325435
Exo poli douleia sto grapheio.,Greeklish,0.918814518
Adventure awaits beyond the horizon.,English,0.364723143
Los festivales de cine en España son prestigiosos.,Other,0.878122018
Den thelo na xaso afti tin eukairia.,Greeklish,0.647584523
Cooking involves various techniques.,English,0.910246715
Las procesiones de la Semana Santa son impresionantes.,Other,0.068272676
Tha pao na deixo ta nea mou rouxa.,Greeklish,0.589189988
La música clásica española es apreciada.,Other,0.28263718
Thelo na pame stin thalassa gia nero.,Greeklish,0.902608331
Tha pame gia kafe apopse bradu.,Greeklish,0.282059272
Pame gia vradini prooptiki?,Greeklish,0.280245093
The world is full of diversity.,English,0.205607605
Tha pame gia diakopes stin Ellada ton Iounio.,Greeklish,0.656830945
Los parques temáticos en España son divertidos.,Other,0.002091964
Den mporo na pao sto parti avrio.,Greeklish,0.093008184
La moda española es elegante y vanguardista.,Other,0.578909013
